date,product_id,forecast_horizon,product_units,raw_material,material_type,consumption_per_unit
2026-02-06,WL-PROD-101,30day,288,Leather_FG,Leather,0.85
2026-02-06,WL-PROD-101,30day,288,Rubber_Sole,Rubber,1.05
2026-02-06,WL-PROD-101,30day,288,Textile_Nylon,Textile,0.65
2026-02-06,WL-PROD-102,30day,288,Leather_Suede,Leather,0.92
2026-02-06,WL-PROD-102,30day,288,Rubber_Sole,Rubber,1.02
2026-02-06,WL-PROD-102,30day,288,Textile_Nylon,Textile,0.61
2026-02-06,WL-PROD-103,30day,134,EVA_Foam,Rubber,0.95
2026-02-06,WL-PROD-103,30day,134,Leather_FG,Leather,0.88
2026-02-06,WL-PROD-103,30day,134,Textile_Nylon,Textile,0.68
2026-02-06,WL-PROD-104,30day,134,Leather_Suede,Leather,0.91
2026-02-06,WL-PROD-104,30day,134,Metal_Eyelet,Metal,0.12
2026-02-06,WL-PROD-104,30day,134,Rubber_Sole,Rubber,1.07
2026-02-06,WL-PROD-105,30day,134,Leather_FG,Leather,0.86
2026-02-06,WL-PROD-105,30day,134,Rubber_Sole,Rubber,1.01
2026-02-06,WL-PROD-105,30day,134,Textile_Nylon,Textile,0.63
2026-02-06,WL-PROD-106,30day,154,EVA_Foam,Rubber,1.12
2026-02-06,WL-PROD-106,30day,154,Leather_FG,Leather,0.83
2026-02-06,WL-PROD-106,30day,154,Textile_Nylon,Textile,0.58
2026-02-06,WL-PROD-107,30day,154,Leather_Suede,Leather,0.89
2026-02-06,WL-PROD-107,30day,154,Metal_Eyelet,Metal,0.14
2026-02-06,WL-PROD-107,30day,154,Rubber_Sole,Rubber,1.08
2026-02-06,WL-PROD-108,30day,154,Leather_FG,Leather,0.87
2026-02-06,WL-PROD-108,30day,154,Rubber_Sole,Rubber,1.04
2026-02-06,WL-PROD-108,30day,154,Textile_Nylon,Textile,0.64
2026-02-06,WL-PROD-109,30day,154,EVA_Foam,Rubber,0.97
2026-02-06,WL-PROD-109,30day,154,Leather_Suede,Leather,0.9
2026-02-06,WL-PROD-109,30day,154,Textile_Nylon,Textile,0.66
2026-02-06,WL-PROD-110,30day,354,Leather_FG,Leather,1.15
2026-02-06,WL-PROD-110,30day,354,Rubber_Sole,Rubber,1.25
2026-02-06,WL-PROD-110,30day,354,Textile_Nylon,Textile,0.75
2026-02-06,WL-PROD-111,30day,354,Leather_Suede,Leather,1.18
2026-02-06,WL-PROD-111,30day,354,Metal_Eyelet,Metal,0.18
2026-02-06,WL-PROD-111,30day,354,Rubber_Sole,Rubber,1.28
2026-02-06,WL-PROD-112,30day,202,EVA_Foam,Rubber,1.2
2026-02-06,WL-PROD-112,30day,202,Leather_FG,Leather,1.12
2026-02-06,WL-PROD-112,30day,202,Textile_Nylon,Textile,0.72
2026-02-06,WL-PROD-113,30day,202,Leather_Suede,Leather,1.2
2026-02-06,WL-PROD-113,30day,202,Rubber_Sole,Rubber,1.3
2026-02-06,WL-PROD-113,30day,202,Textile_Nylon,Textile,0.74
2026-02-06,WL-PROD-114,30day,152,Leather_FG,Leather,1.1
2026-02-06,WL-PROD-114,30day,152,Metal_Eyelet,Metal,0.2
2026-02-06,WL-PROD-114,30day,152,Rubber_Sole,Rubber,1.27
2026-02-06,WL-PROD-115,30day,152,EVA_Foam,Rubber,1.22
2026-02-06,WL-PROD-115,30day,152,Leather_Suede,Leather,1.16
2026-02-06,WL-PROD-115,30day,152,Textile_Nylon,Textile,0.71
2026-02-06,WL-PROD-116,30day,152,Leather_FG,Leather,1.14
2026-02-06,WL-PROD-116,30day,152,Rubber_Sole,Rubber,1.29
2026-02-06,WL-PROD-116,30day,152,Textile_Nylon,Textile,0.73
2026-02-06,WL-PROD-120,30day,214,Leather_Suede,Leather,1.05
2026-02-06,WL-PROD-120,30day,214,Rubber_Sole,Rubber,1.35
2026-02-06,WL-PROD-120,30day,214,Textile_Nylon,Textile,0.78
2026-02-06,WL-PROD-121,30day,214,EVA_Foam,Rubber,1.4
2026-02-06,WL-PROD-121,30day,214,Leather_FG,Leather,1.02
2026-02-06,WL-PROD-121,30day,214,Textile_Nylon,Textile,0.8
2026-02-06,WL-PROD-122,30day,214,Leather_Suede,Leather,1.08
2026-02-06,WL-PROD-122,30day,214,Metal_Eyelet,Metal,0.22
2026-02-06,WL-PROD-122,30day,214,Rubber_Sole,Rubber,1.38
