date,product_id,forecast_horizon,product_units
2025-12-31,WL-PROD-101,30day,334
2025-12-31,WL-PROD-102,30day,334
2025-12-31,WL-PROD-103,30day,155
2025-12-31,WL-PROD-104,30day,155
2025-12-31,WL-PROD-105,30day,155
2025-12-31,WL-PROD-106,30day,179
2025-12-31,WL-PROD-107,30day,179
2025-12-31,WL-PROD-108,30day,179
2025-12-31,WL-PROD-109,30day,179
2025-12-31,WL-PROD-110,30day,428
2025-12-31,WL-PROD-111,30day,428
2025-12-31,WL-PROD-112,30day,243
2025-12-31,WL-PROD-113,30day,243
2025-12-31,WL-PROD-114,30day,185
2025-12-31,WL-PROD-115,30day,185
2025-12-31,WL-PROD-116,30day,185
2025-12-31,WL-PROD-120,30day,253
2025-12-31,WL-PROD-121,30day,253
2025-12-31,WL-PROD-122,30day,253
2025-12-31,WL-PROD-123,30day,116
2025-12-31,WL-PROD-124,30day,116
2025-12-31,WL-PROD-125,30day,116
2025-12-31,WL-PROD-126,30day,137
2025-12-31,WL-PROD-127,30day,137
2025-12-31,WL-PROD-130,30day,363
2025-12-31,WL-PROD-131,30day,363
2025-12-31,WL-PROD-132,30day,159
2025-12-31,WL-PROD-133,30day,159
2025-12-31,WL-PROD-134,30day,204
2025-12-31,WL-PROD-135,30day,204
2025-12-31,WL-PROD-136,30day,204
2025-12-31,WL-PROD-140,30day,419
2025-12-31,WL-PROD-141,30day,419
2025-12-31,WL-PROD-142,30day,230
2025-12-31,WL-PROD-143,30day,230
2025-12-31,WL-PROD-144,30day,189
2025-12-31,WL-PROD-145,30day,189
2025-12-31,WL-PROD-146,30day,189
2025-12-31,WL-PROD-150,30day,396
2025-12-31,WL-PROD-151,30day,396
2025-12-31,WL-PROD-152,30day,123
2025-12-31,WL-PROD-153,30day,123
2025-12-31,WL-PROD-154,30day,123
2025-12-31,WL-PROD-155,30day,273
2025-12-31,WL-PROD-156,30day,273
2025-12-31,WL-PROD-160,30day,377
2025-12-31,WL-PROD-161,30day,377
2025-12-31,WL-PROD-162,30day,200
2025-12-31,WL-PROD-163,30day,200
2025-12-31,WL-PROD-164,30day,200
2025-12-31,WL-PROD-165,30day,177
2025-12-31,WL-PROD-166,30day,177
2025-12-31,WL-PROD-170,30day,311
2025-12-31,WL-PROD-171,30day,311
2025-12-31,WL-PROD-172,30day,137
2025-12-31,WL-PROD-173,30day,137
2025-12-31,WL-PROD-174,30day,137
2025-12-31,WL-PROD-175,30day,174
2025-12-31,WL-PROD-176,30day,174
2025-12-31,WL-PROD-180,30day,409
2025-12-31,WL-PROD-181,30day,409
2025-12-31,WL-PROD-182,30day,190
2025-12-31,WL-PROD-183,30day,190
2025-12-31,WL-PROD-184,30day,219
2025-12-31,WL-PROD-185,30day,219
2025-12-31,WL-PROD-190,30day,386
2025-12-31,WL-PROD-191,30day,386
2025-12-31,WL-PROD-192,30day,197
2025-12-31,WL-PROD-193,30day,197
2025-12-31,WL-PROD-194,30day,189
2025-12-31,WL-PROD-195,30day,189
2025-12-31,WL-PROD-200,30day,393
2025-12-31,WL-PROD-201,30day,393
2025-12-31,WL-PROD-202,30day,226
2025-12-31,WL-PROD-203,30day,226
2025-12-31,WL-PROD-204,30day,167
2025-12-31,WL-PROD-205,30day,167
2025-12-31,WL-PROD-210,30day,379
2025-12-31,WL-PROD-211,30day,379
2025-12-31,WL-PROD-212,30day,183
2025-12-31,WL-PROD-213,30day,183
2025-12-31,WL-PROD-214,30day,196
2025-12-31,WL-PROD-215,30day,196
2025-12-31,WL-PROD-220,30day,459
2025-12-31,WL-PROD-221,30day,459
2025-12-31,WL-PROD-222,30day,216
2025-12-31,WL-PROD-223,30day,216
2025-12-31,WL-PROD-224,30day,243
2025-12-31,WL-PROD-225,30day,243
2025-12-31,WL-PROD-230,30day,389
2025-12-31,WL-PROD-231,30day,389
2025-12-31,WL-PROD-232,30day,175
2025-12-31,WL-PROD-233,30day,175
2025-12-31,WL-PROD-234,30day,214
2025-12-31,WL-PROD-235,30day,214
2025-12-31,WL-PROD-240,30day,389
2025-12-31,WL-PROD-241,30day,389
2025-12-31,WL-PROD-242,30day,223
2025-12-31,WL-PROD-243,30day,223
2025-12-31,WL-PROD-244,30day,166
2025-12-31,WL-PROD-245,30day,166
2025-12-31,WL-PROD-250,30day,398
2025-12-31,WL-PROD-251,30day,398
2025-12-31,WL-PROD-252,30day,224
2025-12-31,WL-PROD-253,30day,224
2025-12-31,WL-PROD-254,30day,174
2025-12-31,WL-PROD-255,30day,174
2025-12-31,WL-PROD-260,30day,434
2025-12-31,WL-PROD-261,30day,434
2025-12-31,WL-PROD-262,30day,165
2025-12-31,WL-PROD-263,30day,165
2025-12-31,WL-PROD-264,30day,269
2025-12-31,WL-PROD-265,30day,269
2025-12-31,WL-PROD-270,30day,528
2025-12-31,WL-PROD-271,30day,528
2025-12-31,WL-PROD-272,30day,276
2025-12-31,WL-PROD-273,30day,276
2025-12-31,WL-PROD-274,30day,252
2025-12-31,WL-PROD-275,30day,252
2025-12-31,WL-PROD-280,30day,358
2025-12-31,WL-PROD-281,30day,358
2025-12-31,WL-PROD-282,30day,192
2025-12-31,WL-PROD-283,30day,192
2025-12-31,WL-PROD-284,30day,166
2025-12-31,WL-PROD-285,30day,166
2025-12-31,WL-PROD-290,30day,437
2025-12-31,WL-PROD-291,30day,437
2025-12-31,WL-PROD-292,30day,237
2025-12-31,WL-PROD-293,30day,237
2025-12-31,WL-PROD-294,30day,200
2025-12-31,WL-PROD-295,30day,200
2026-01-01,WL-PROD-101,30day,335
2026-01-01,WL-PROD-102,30day,335
2026-01-01,WL-PROD-103,30day,155
2026-01-01,WL-PROD-104,30day,155
2026-01-01,WL-PROD-105,30day,155
2026-01-01,WL-PROD-106,30day,180
2026-01-01,WL-PROD-107,30day,180
2026-01-01,WL-PROD-108,30day,180
2026-01-01,WL-PROD-109,30day,180
2026-01-01,WL-PROD-110,30day,426
2026-01-01,WL-PROD-111,30day,426
2026-01-01,WL-PROD-112,30day,241
2026-01-01,WL-PROD-113,30day,241
2026-01-01,WL-PROD-114,30day,185
2026-01-01,WL-PROD-115,30day,185
2026-01-01,WL-PROD-116,30day,185
2026-01-01,WL-PROD-120,30day,253
2026-01-01,WL-PROD-121,30day,253
2026-01-01,WL-PROD-122,30day,253
2026-01-01,WL-PROD-123,30day,116
2026-01-01,WL-PROD-124,30day,116
2026-01-01,WL-PROD-125,30day,116
2026-01-01,WL-PROD-126,30day,137
2026-01-01,WL-PROD-127,30day,137
2026-01-01,WL-PROD-130,30day,364
2026-01-01,WL-PROD-131,30day,364
2026-01-01,WL-PROD-132,30day,157
2026-01-01,WL-PROD-133,30day,157
2026-01-01,WL-PROD-134,30day,207
2026-01-01,WL-PROD-135,30day,207
2026-01-01,WL-PROD-136,30day,207
2026-01-01,WL-PROD-140,30day,418
2026-01-01,WL-PROD-141,30day,418
2026-01-01,WL-PROD-142,30day,229
2026-01-01,WL-PROD-143,30day,229
2026-01-01,WL-PROD-144,30day,189
2026-01-01,WL-PROD-145,30day,189
2026-01-01,WL-PROD-146,30day,189
2026-01-01,WL-PROD-150,30day,395
2026-01-01,WL-PROD-151,30day,395
2026-01-01,WL-PROD-152,30day,122
2026-01-01,WL-PROD-153,30day,122
2026-01-01,WL-PROD-154,30day,122
2026-01-01,WL-PROD-155,30day,273
2026-01-01,WL-PROD-156,30day,273
2026-01-01,WL-PROD-160,30day,377
2026-01-01,WL-PROD-161,30day,377
2026-01-01,WL-PROD-162,30day,200
2026-01-01,WL-PROD-163,30day,200
2026-01-01,WL-PROD-164,30day,200
2026-01-01,WL-PROD-165,30day,177
2026-01-01,WL-PROD-166,30day,177
2026-01-01,WL-PROD-170,30day,312
2026-01-01,WL-PROD-171,30day,312
2026-01-01,WL-PROD-172,30day,137
2026-01-01,WL-PROD-173,30day,137
2026-01-01,WL-PROD-174,30day,137
2026-01-01,WL-PROD-175,30day,175
2026-01-01,WL-PROD-176,30day,175
2026-01-01,WL-PROD-180,30day,411
2026-01-01,WL-PROD-181,30day,411
2026-01-01,WL-PROD-182,30day,192
2026-01-01,WL-PROD-183,30day,192
2026-01-01,WL-PROD-184,30day,219
2026-01-01,WL-PROD-185,30day,219
2026-01-01,WL-PROD-190,30day,386
2026-01-01,WL-PROD-191,30day,386
2026-01-01,WL-PROD-192,30day,197
2026-01-01,WL-PROD-193,30day,197
2026-01-01,WL-PROD-194,30day,189
2026-01-01,WL-PROD-195,30day,189
2026-01-01,WL-PROD-200,30day,394
2026-01-01,WL-PROD-201,30day,394
2026-01-01,WL-PROD-202,30day,227
2026-01-01,WL-PROD-203,30day,227
2026-01-01,WL-PROD-204,30day,167
2026-01-01,WL-PROD-205,30day,167
2026-01-01,WL-PROD-210,30day,379
2026-01-01,WL-PROD-211,30day,379
2026-01-01,WL-PROD-212,30day,183
2026-01-01,WL-PROD-213,30day,183
2026-01-01,WL-PROD-214,30day,196
2026-01-01,WL-PROD-215,30day,196
2026-01-01,WL-PROD-220,30day,457
2026-01-01,WL-PROD-221,30day,457
2026-01-01,WL-PROD-222,30day,216
2026-01-01,WL-PROD-223,30day,216
2026-01-01,WL-PROD-224,30day,241
2026-01-01,WL-PROD-225,30day,241
2026-01-01,WL-PROD-230,30day,389
2026-01-01,WL-PROD-231,30day,389
2026-01-01,WL-PROD-232,30day,174
2026-01-01,WL-PROD-233,30day,174
2026-01-01,WL-PROD-234,30day,215
2026-01-01,WL-PROD-235,30day,215
2026-01-01,WL-PROD-240,30day,389
2026-01-01,WL-PROD-241,30day,389
2026-01-01,WL-PROD-242,30day,223
2026-01-01,WL-PROD-243,30day,223
2026-01-01,WL-PROD-244,30day,166
2026-01-01,WL-PROD-245,30day,166
2026-01-01,WL-PROD-250,30day,398
2026-01-01,WL-PROD-251,30day,398
2026-01-01,WL-PROD-252,30day,224
2026-01-01,WL-PROD-253,30day,224
2026-01-01,WL-PROD-254,30day,174
2026-01-01,WL-PROD-255,30day,174
2026-01-01,WL-PROD-260,30day,430
2026-01-01,WL-PROD-261,30day,430
2026-01-01,WL-PROD-262,30day,162
2026-01-01,WL-PROD-263,30day,162
2026-01-01,WL-PROD-264,30day,268
2026-01-01,WL-PROD-265,30day,268
2026-01-01,WL-PROD-270,30day,529
2026-01-01,WL-PROD-271,30day,529
2026-01-01,WL-PROD-272,30day,276
2026-01-01,WL-PROD-273,30day,276
2026-01-01,WL-PROD-274,30day,253
2026-01-01,WL-PROD-275,30day,253
2026-01-01,WL-PROD-280,30day,359
2026-01-01,WL-PROD-281,30day,359
2026-01-01,WL-PROD-282,30day,193
2026-01-01,WL-PROD-283,30day,193
2026-01-01,WL-PROD-284,30day,166
2026-01-01,WL-PROD-285,30day,166
2026-01-01,WL-PROD-290,30day,437
